gardiner_code,english_translation
A1,"man, namesù"
A2,"eat, drink, speak, think."
A3,sit.
A4,"adoration, hide"
A5,hide
A6,"purity, cleanliness"
A7,"weary, weak"
A8,jubilation
A9,"load, carry, workù"
A10,sail
A11,friendù
A12,"army, soldier"
A13,enemy
A14,"die, enemy"
A14a,"die, enemy"
A15,"fall, overthrowù"
A16,bow
A17,"young, childù"
A17a,"sit, young"
A18,child-king
A19,"old, eldest, great one, chiefù"
A20,"old, eldest, great one, chiefù"
A21,"Official, nobleù"
A22,statue.
A23,sovereignù
A24,"strike, take away"
A25,strikeù
A26,"call, Oh!ù"
A27,by
A28,"high, rejoiceù"
A29,upside down.
A30,"praise, adorationù"
A31,turn away.
A32,dance.
A33,"wander, herdsman."
A34,"pound, buildù"
A35,buildù
A36,brewerù
A37,brewerù
A38,"Cusae, (town)."
A39,"Cusae, (town)."
A40,when god speaks.
A41,"king, majesty,lord"
A42,"king, majesty,lord"
A43,king Upper Egypt.
A44,king Upper Egypt.
A45,king Lower Egyptù
A46,king Lower Egypt
A47,"guard, herdsman"
A48,relating to
A49,"foreigner, Asiatics"
A50,"revered person, deceased"
A51,noble
A52,"revered person, deceased"
A53,"mummy, statue, likeness, form"
A54,dead
A55,"lie down, dead"
A59,drive off
B1,"woman, name"
B2,pregnant
B3,"give birth, bear."
B4,"give birth, bear."
B5,nurse
B6,nurse
B7,queensí names
C1,"Re, sun-god"
C2,"Re, sun-god"
C3,Thoth
C4,Khnum
C5,Khnum
C6,"Anubis, Wepwawet"
C7,Seth
C8,Min
C9,ideo
C10,Maat
C10a,Maat
C11,million
C12,Amun
C17,Montu
C18,Tatjenen.
C19,Ptah
C20,Ptah
D1,"head, first, chief"
D2,face
D3,hair
D4,eye
D5,"look, blind"
D6,"look, blind"
D7,adorn
D8,"Turah, beautiful."
D9,weep
D10,wedjat eye
D11,half a measure of grain
D12,pupil of eye.
D13,"	1/8 measure of grain."
D14,1/16 measure of grain.
D15,1/32 measure of grain.
D16,1/64 measure of grain.
D17,"figure, image."
D18,ear
D19,"nose, smell, rejoice"
D20,"nose, smell, rejoice"
D21,mouth
D22,2/3.
D23,3/4.
D24,lip
D25,lips
D26,"spit, spew out"
D27,"breast, suckle"
D27a,"breast, suckle"
D28,soul
D29,soul
D30,"Uniter of Attributes,  name of mythical serpent deity"
D31,servent
D32,"envelop, embrace"
D33,row
D34,fight
D34a,fight
D35,negation
D36,"arm, hand"
D37,give
D38,give
D39,"present, offer."
D40,"strong, evaluate."
D41,"arm, shoulder"
D42,cubit
D43,protect
D44,"control, be at head of, administer."
D45,"clear road, sacred, holy"
D46,hand
D46a,fragrance
D47,hand
D48,"palm, hand-breadth (measure)"
D49,"grasp, seize."
D50,finger
D51,"nail, measure, fruit."
D52,"ass, male, bull"
D53,"in the presence of, since, before"
D54,come
D55,"turn back, be reversed."
D56,"leg, knee."
D57,be mutilated.
D58,place
D59,b
D60,"pure, clean."
D61,toe
D62,toe
D63,toe
E1,"bull, cattle."
E2,"fighting bull, victorious bull, (epithet of Pharaoh.)"
E3,calf
E4,sacred cow
E5,show solicitude
E6,"horse, stallion"
E7,donkey
E8,"kid, flocks."
E9,conceive
E10,"ram, Khnum, white flocks, sheep"
E11,"ram, Khnum, white flocks, sheep"
E12,pig
E13,cat
E14,"dog, hound"
E15,Anubis
E16,Anubis
E17,"jackal, dignitary."
E18,"Opener of ways, Wepwawet."
E19,"Opener of ways, Wepwawet."
E20,"Seth, turmoil, confusion"
E21,"storm, rage"
E22,lion
E23,lion
E24,"panther, leopard."
E25,hippopotamus
E26,Elephantine
E27,"foretell, giraffe"
E28,oryx
E29,gazelle
E30,ibex
E31,"rank, privilege."
E32,"baboon, monkey, furious"
E33,monkey
E34,be
F1,cattle
F2,rage
F3,"moment, attack"
F4,"front, heart"
F5,"skilled, prayer"
F6,"skilled, prayer"
F7,"worth, dignity."
F8,"worth, dignity."
F9,strength
F10,swallow
F11,swallow
F12,"neck, powerful"
F13,"brow, beginning"
F14,Opening of the Year.
F15,Opening of the Year.
F16,"horn, together with"
F17,purification
F18,"tooth, cry"
F19,jaw
F20,"tongue, overseer"
F21,"ear, hear."
F22,"reach, strength, end"
F23,"strong arm, leg."
F24,"strong arm, leg."
F25,"hoof, repeat."
F26,"interior, approach."
F27,"hide, skin."
F28,"hide, skin."
F29,"pierce, shoot."
F30,"draw forth, water skin"
F31,give birth.
F32,"belly, body."
F33,tail
F34,heart
F35,"good, beautiful."
F36,"unite, lung."
F37,back
F38,back
F39,"spine, honor"
F40,"spine, honor"
F41,back
F42,approach
F43,ribs
F44,"inherit, exchange"
F45,"vulva, cow"
F46,"in the midst of, turn."
F47,"in the midst of, turn."
F48,"in the midst of, turn."
F49,"in the midst of, turn."
F50,"write, copy"
F51,"flesh, meat."
F52,excrement
G1,vulture
G2,see
G3,renew
G4,Buzzard
G5,Horus
G6,falcon
G7,"Amun, king"
G7a,Nemty
G7b,Nemty
G8,Golden Horus/falcon.
G9,Re-Horakhty.
G10,"Sokar, Sokar bark."
G11,"divine image, breast"
G12,"divine image, breast"
G13,"Horus of Hierakonopolis, Sopdu."
G14,mother
G15,Mut
G16,Two Ladies (title of Pharaoh)
G17,owl
G18,two owls
G19,owl
G20,owl
G21,eternity
G22,hoopoe
G23,commoners
G24,commoners
G25,spirit
G26,Thoth
G26a,Thoth
G27,"red, flamingo."
G28,find
G29,soul
G30,"spirits, strength."
G31,heron
G32,inundated
G33,tremble
G34,ostrich
G35,enter
G36,great
G37,"small, bad."
G38,"Geb, talk, idle, perish."
G39,duck
G40,"the, fly."
G41,"alight, halt, speech, throw, create."
G42,"fatten, provisions"
G43,Quail chick
G44,end
G45,soldier
G46,end
G47,male
G48,nest
G49,nest
G50,washerman
G51,catch fish
G52,feed
G53,soul
G54,fear
H1,"bird, wring the neck of birds."
H2,"temple of the head, true."
H3,Head of spoonbill
H4,vulture
H5,wing
H6,"feather, truth."
H7,Shat (location).
H8,"son, egg"
I1,"lizard, many, numerous"
I2,turtle
I3,"crocodile, sovereign"
I4,Sobek
I5,"collect, gather."
I6,Egypt
